time,issue_id,event_id,type,author,action,url
2025-03-28 14:47:07+00:00,25,17033896238,label,NicolasToussaint,labeled Decision Maker,https://github.com/NicolasToussaint/my-ggi-board_2025-03-28/issues/25
2025-03-28 14:47:07+00:00,25,17033896245,label,NicolasToussaint,labeled Not Selected,https://github.com/NicolasToussaint/my-ggi-board_2025-03-28/issues/25
2025-03-28 14:47:07+00:00,25,17033896255,label,NicolasToussaint,labeled Strategy Goal,https://github.com/NicolasToussaint/my-ggi-board_2025-03-28/issues/25
2025-03-28 14:47:04+00:00,24,17033895479,label,NicolasToussaint,labeled Decision Maker,https://github.com/NicolasToussaint/my-ggi-board_2025-03-28/issues/24
2025-03-28 14:47:04+00:00,24,17033895489,label,NicolasToussaint,labeled Not Selected,https://github.com/NicolasToussaint/my-ggi-board_2025-03-28/issues/24
2025-03-28 14:47:04+00:00,24,17033895495,label,NicolasToussaint,labeled Strategy Goal,https://github.com/NicolasToussaint/my-ggi-board_2025-03-28/issues/24
2025-03-28 14:47:01+00:00,23,17033894761,label,NicolasToussaint,labeled Decision Maker,https://github.com/NicolasToussaint/my-ggi-board_2025-03-28/issues/23
2025-03-28 14:47:01+00:00,23,17033894767,label,NicolasToussaint,labeled Not Selected,https://github.com/NicolasToussaint/my-ggi-board_2025-03-28/issues/23
2025-03-28 14:47:01+00:00,23,17033894778,label,NicolasToussaint,labeled Strategy Goal,https://github.com/NicolasToussaint/my-ggi-board_2025-03-28/issues/23
2025-03-28 14:46:58+00:00,22,17033894092,label,NicolasToussaint,labeled Decision Maker,https://github.com/NicolasToussaint/my-ggi-board_2025-03-28/issues/22
2025-03-28 14:46:58+00:00,22,17033894097,label,NicolasToussaint,labeled Not Selected,https://github.com/NicolasToussaint/my-ggi-board_2025-03-28/issues/22
2025-03-28 14:46:58+00:00,22,17033894103,label,NicolasToussaint,labeled Strategy Goal,https://github.com/NicolasToussaint/my-ggi-board_2025-03-28/issues/22
2025-03-28 14:46:56+00:00,21,17033893368,label,NicolasToussaint,labeled Decision Maker,https://github.com/NicolasToussaint/my-ggi-board_2025-03-28/issues/21
